ID,Category,Sales,Quantity,Discount,Region,Customer_Satisfaction,Profit,Product_Code,Date,Status,Supplier
1,D,2690.547495749776,40,0.11736556469669795,South,3,110.66952172978802,9591,2020-01-01,Shipped,Supplier A
2,B,1353.9253932273211,24,0.03906921937620861,East,5,1606.780995311322,5212,2020-01-02,Pending,Supplier A
3,D,4115.058580510535,42,0.1572145671461994,East,5,337.74927756050727,9858,2020-01-03,Shipped,Supplier A
4,D,1663.5041277924815,44,0.4244597126067523,South,4,966.115534585176,8895,2020-01-04,Pending,Supplier C
5,D,3475.1163273196603,23,0.013094217571989142,North,4,1064.3501372562052,7673,2020-01-05,Shipped,Supplier A
6,C,3803.2896761700285,8,0.3187157505729155,North,3,-62.81724344891643,4425,2020-01-06,Shipped,Supplier C
7,A,3332.4937603885537,12,0.38430930921733875,South,5,1211.7254861997858,6662,2020-01-07,Delivered,Supplier B
8,B,1053.6090352717129,46,0.10535599380007615,South,1,1445.7964661006986,3689,2020-01-08,Returned,Supplier A
9,D,1593.1031217721807,5,0.2981612727717245,West,5,789.7008922366902,5011,2020-01-09,Returned,Supplier C
10,B,1365.341025041635,38,0.07166539715415304,East,3,922.5549469719779,3024,2020-01-10,Returned,Supplier A
11,B,3842.5497339433864,26,0.34325837422155997,East,1,-331.39310553031055,9341,2020-01-11,Delivered,Supplier A
12,B,4749.320274582171,16,0.48340816568836714,South,5,1939.2574726964945,5252,2020-01-12,Delivered,Supplier B
13,D,4210.69608883152,28,0.18977604985148339,West,3,1574.4553443058953,1536,2020-01-13,Pending,Supplier C
14,D,4791.576460771062,41,0.09416156733278674,East,5,1814.7733166713429,1575,2020-01-14,Delivered,Supplier A
15,A,4160.388993063567,18,0.16104787107391783,East,1,-360.47922297568823,8227,2020-01-15,Returned,Supplier A
16,B,4086.0120909331795,44,0.06423138016049407,North,4,-1.2572200952813546,1038,2020-01-16,Returned,Supplier B
17,A,1512.8934446232468,19,0.2504336982403357,North,1,-376.3912053576594,2287,2020-01-17,Delivered,Supplier B
18,A,1605.8645847484652,20,0.4687590746130388,West,3,-134.46641875043196,1063,2020-01-18,Shipped,Supplier B
19,C,4001.1491745268454,20,0.0662154990417625,South,5,1466.4645847029776,1896,2020-01-19,Delivered,Supplier A
20,D,2899.7607307299186,12,0.04613208514204692,East,4,1680.0960691474575,7969,2020-01-20,Returned,Supplier A
21,A,1507.6149591652338,6,0.41968245596391274,West,5,-271.63769134348274,4853,2020-01-21,Pending,Supplier B
22,A,2057.360995575503,31,0.21838784042608977,West,3,1586.0716041612477,1936,2020-01-22,Pending,Supplier A
23,C,3970.487145876883,24,0.13943634187136056,South,5,809.8603351536797,7066,2020-01-23,Delivered,Supplier A
