"claim_id","claim_date","sale_id","repair_status"
"CL-285","2020-01-17","OID-363381","Free Replaced"
"CL-290","2020-01-19","OID-363359","Free Replaced"
"CL-291","2020-01-19","OID-363371","Free Replaced"
"CL-299","2020-01-21","OID-363397","Free Replaced"
"CL-308","2020-01-23","OID-363395","Free Replaced"
"CL-316","2020-01-25","OID-363325","Free Replaced"
"CL-323","2020-01-27","OID-363323","Free Replaced"
"CL-334","2020-01-31","OID-363305","Free Replaced"
"CL-344","2020-02-02","OID-363306","Free Replaced"
"CL-355","2020-02-07","OID-363225","Free Replaced"
"CL-356","2020-02-07","OID-363398","Free Replaced"
"CL-366","2020-02-10","OID-363219","Free Replaced"
"CL-367","2020-02-10","OID-363256","Free Replaced"
"CL-370","2020-02-11","OID-363278","Free Replaced"
"CL-371","2020-02-11","OID-363310","Free Replaced"
"CL-372","2020-02-11","OID-363319","Free Replaced"
"CL-376","2020-02-12","OID-363289","Free Replaced"
"CL-379","2020-02-13","OID-363247","Free Replaced"
"CL-380","2020-02-13","OID-363331","Free Replaced"
"CL-384","2020-02-14","OID-363296","Free Replaced"
"CL-393","2020-02-16","OID-363209","Free Replaced"
"CL-397","2020-02-17","OID-363277","Free Replaced"
"CL-398","2020-02-17","OID-363347","Free Replaced"
"CL-399","2020-02-17","OID-363379","Free Replaced"
"CL-403","2020-02-18","OID-363287","Free Replaced"
"CL-404","2020-02-18","OID-363311","Free Replaced"
"CL-409","2020-02-19","OID-363403","Free Replaced"
"CL-411","2020-02-20","OID-363270","Free Replaced"
"CL-412","2020-02-20","OID-363298","Free Replaced"
"CL-413","2020-02-20","OID-363389","Free Replaced"
"CL-421","2020-02-22","OID-363238","Free Replaced"
"CL-422","2020-02-22","OID-363312","Free Replaced"
"CL-423","2020-02-22","OID-363362","Free Replaced"
"CL-431","2020-02-23","OID-363285","Free Replaced"
"CL-432","2020-02-23","OID-363334","Free Replaced"
"CL-434","2020-02-24","OID-363233","Free Replaced"
"CL-444","2020-02-26","OID-363255","Free Replaced"
"CL-446","2020-02-27","OID-363265","Free Replaced"
"CL-447","2020-02-27","OID-363304","Free Replaced"
"CL-451","2020-02-28","OID-363240","Free Replaced"
"CL-452","2020-02-28","OID-363356","Free Replaced"
"CL-455","2020-02-29","OID-363314","Free Replaced"
"CL-458","2020-03-01","OID-363140","Free Replaced"
"CL-464","2020-03-02","OID-363327","Free Replaced"
"CL-465","2020-03-02","OID-363382","Free Replaced"
"CL-468","2020-03-03","OID-363250","Free Replaced"
"CL-469","2020-03-03","OID-363284","Free Replaced"
"CL-470","2020-03-03","OID-363307","Free Replaced"
"CL-471","2020-03-03","OID-363348","Free Replaced"
"CL-474","2020-03-04","OID-363137","Free Replaced"
"CL-475","2020-03-04","OID-363346","Free Replaced"
"CL-479","2020-03-05","OID-363091","Free Replaced"
"CL-480","2020-03-05","OID-363224","Free Replaced"
"CL-481","2020-03-05","OID-363236","Free Replaced"
"CL-487","2020-03-06","OID-363119","Free Replaced"
"CL-488","2020-03-06","OID-363249","Free Replaced"
"CL-495","2020-03-07","OID-363199","Free Replaced"
"CL-503","2020-03-09","OID-363045","Free Replaced"
"CL-504","2020-03-09","OID-363109","Free Replaced"
